imd_storm_id,serial,name,year,basin,start_time,end_time,duration_hours,n_obs,n_imd_obs,n_scorpio_obs,peak_wind_kt,min_pressure_hpa,peak_dvorak_ci,peak_grade,provenance
1996-003,3.0,,1996,ARB,1996-06-17 09:00:00,1996-06-20 06:00:00,69.0,17,17,0,60.0,972.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1996-004,4.0,,1996,LAND,1996-07-26 03:00:00,1996-07-28 03:00:00,48.0,5,5,0,,,,D,RSMC_New_Delhi_Best_Track
1996-005,5.0,,1996,BOB,1996-10-01 03:00:00,1996-10-02 06:00:00,27.0,7,7,0,25.0,1000.0,1.5,D,RSMC_New_Delhi_Best_Track
1996-006,6.0,,1996,ARB,1996-10-22 09:00:00,1996-10-27 12:00:00,123.0,28,28,0,60.0,994.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1996-007,7.0,,1996,BOB,1996-10-27 03:00:00,1996-10-29 00:00:00,45.0,10,10,0,30.0,998.0,2.0,DD,RSMC_New_Delhi_Best_Track
1996-008,8.0,,1996,BOB,1996-11-04 15:00:00,1996-11-07 06:00:00,63.0,17,17,0,77.0,988.0,4.5,VSCS,RSMC_New_Delhi_Best_Track
1996-009,9.0,,1996,BOB,1996-11-28 03:00:00,1996-12-06 18:00:00,207.0,44,44,0,65.0,984.0,4.0,VSCS,RSMC_New_Delhi_Best_Track
1997-001,1.0,,1997,BOB,1997-05-15 06:00:00,1997-05-19 12:00:00,102.0,27,27,0,90.0,964.0,5.0,ESCS,RSMC_New_Delhi_Best_Track
1997-002,2.0,,1997,BOB,1997-06-26 03:00:00,1997-06-29 18:00:00,87.0,19,19,0,30.0,985.0,2.0,DD,RSMC_New_Delhi_Best_Track
1997-003,3.0,,1997,BOB,1997-07-29 03:00:00,1997-08-02 06:00:00,99.0,21,21,0,30.0,1002.0,2.0,DD,RSMC_New_Delhi_Best_Track
1997-004,4.0,,1997,BOB,1997-08-04 06:00:00,1997-08-05 18:00:00,36.0,10,10,0,30.0,896.0,2.0,DD,RSMC_New_Delhi_Best_Track
1997-005,5.0,,1997,BOB,1997-08-20 03:00:00,1997-08-27 06:00:00,171.0,36,36,0,30.0,990.0,2.0,DD,RSMC_New_Delhi_Best_Track
1997-006,6.0,,1997,BOB,1997-08-28 03:00:00,1997-08-30 06:00:00,51.0,13,13,0,25.0,994.0,1.5,D,RSMC_New_Delhi_Best_Track
1997-007,7.0,,1997,BOB,1997-09-23 03:00:00,1997-09-27 12:00:00,105.0,27,27,0,55.0,984.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1997-008,8.0,,1997,BOB,1997-11-04 03:00:00,1997-11-09 09:00:00,126.0,32,32,0,35.0,1004.0,2.5,CS,RSMC_New_Delhi_Best_Track
1997-009,9.0,,1997,ARB,1997-11-10 18:00:00,1997-11-13 09:00:00,63.0,15,15,0,30.0,1005.0,2.0,DD,RSMC_New_Delhi_Best_Track
1998-001,1.0,,1998,BOB,1998-05-17 12:00:00,1998-05-20 12:00:00,72.0,16,16,0,60.0,972.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1998-002,2.0,,1998,ARB,1998-06-04 06:00:00,1998-06-10 09:00:00,147.0,32,32,0,90.0,958.0,5.0,ESCS,RSMC_New_Delhi_Best_Track
1998-003,3.0,,1998,BOB,1998-06-13 15:00:00,1998-06-15 03:00:00,36.0,9,9,0,30.0,992.0,2.0,DD,RSMC_New_Delhi_Best_Track
1998-004,4.0,,1998,ARB,1998-10-06 12:00:00,1998-10-09 12:00:00,72.0,16,16,0,30.0,998.0,2.0,DD,RSMC_New_Delhi_Best_Track
1998-005,5.0,,1998,ARB,1998-10-11 12:00:00,1998-10-17 03:00:00,135.0,30,30,0,35.0,994.0,2.5,CS,RSMC_New_Delhi_Best_Track
1998-006,6.0,,1998,BOB,1998-10-13 12:00:00,1998-10-15 00:00:00,36.0,8,8,0,30.0,998.0,2.0,DD,RSMC_New_Delhi_Best_Track
1998-007,7.0,,1998,BOB,1998-10-26 09:00:00,1998-10-29 09:00:00,72.0,17,17,0,30.0,1002.0,2.0,DD,RSMC_New_Delhi_Best_Track
1998-008,8.0,,1998,BOB,1998-11-13 12:00:00,1998-11-16 06:00:00,66.0,15,15,0,77.0,982.0,4.5,VSCS,RSMC_New_Delhi_Best_Track
1998-009,9.0,,1998,BOB,1998-11-19 03:00:00,1998-11-23 03:00:00,96.0,22,22,0,65.0,984.0,4.0,VSCS,RSMC_New_Delhi_Best_Track
1998-010,10.0,,1998,ARB,1998-12-13 00:00:00,1998-12-17 03:00:00,99.0,26,26,0,55.0,993.0,3.5,SCS,RSMC_New_Delhi_Best_Track
